CL_UNIT,DataValue,GeoName,Timeperiod,UNIT_MULT
millions of chained 2009 dollars,386554,Michigan,1997,6
millions of chained 2009 dollars,392288,Michigan,1998,6
millions of chained 2009 dollars,413344,Michigan,1999,6
millions of chained 2009 dollars,420241,Michigan,2000,6
millions of chained 2009 dollars,408463,Michigan,2001,6
millions of chained 2009 dollars,419731,Michigan,2002,6
millions of chained 2009 dollars,427565,Michigan,2003,6
millions of chained 2009 dollars,426182,Michigan,2004,6
millions of chained 2009 dollars,431383,Michigan,2005,6
millions of chained 2009 dollars,423582,Michigan,2006,6
millions of chained 2009 dollars,419302,Michigan,2007,6
millions of chained 2009 dollars,396515,Michigan,2008,6
millions of chained 2009 dollars,363146,Michigan,2009,6
millions of chained 2009 dollars,382885,Michigan,2010,6
millions of chained 2009 dollars,392653,Michigan,2011,6
millions of chained 2009 dollars,400063,Michigan,2012,6
millions of chained 2009 dollars,405793,Michigan,2013,6
millions of chained 2009 dollars,411639,Michigan,2014,6
millions of chained 2009 dollars,422800,Michigan,2015,6
millions of chained 2009 dollars,430608,Michigan,2016,6
millions of chained 2009 dollars,18465,"Ann Arbor, MI (Metropolitan Statistical Area)",2001,6
millions of chained 2009 dollars,19625,"Ann Arbor, MI (Metropolitan Statistical Area)",2002,6
millions of chained 2009 dollars,20054,"Ann Arbor, MI (Metropolitan Statistical Area)",2003,6
millions of chained 2009 dollars,19928,"Ann Arbor, MI (Metropolitan Statistical Area)",2004,6
millions of chained 2009 dollars,20147,"Ann Arbor, MI (Metropolitan Statistical Area)",2005,6
millions of chained 2009 dollars,20004,"Ann Arbor, MI (Metropolitan Statistical Area)",2006,6
millions of chained 2009 dollars,20320,"Ann Arbor, MI (Metropolitan Statistical Area)",2007,6
millions of chained 2009 dollars,19457,"Ann Arbor, MI (Metropolitan Statistical Area)",2008,6
millions of chained 2009 dollars,18422,"Ann Arbor, MI (Metropolitan Statistical Area)",2009,6
millions of chained 2009 dollars,19019,"Ann Arbor, MI (Metropolitan Statistical Area)",2010,6
millions of chained 2009 dollars,18856,"Ann Arbor, MI (Metropolitan Statistical Area)",2011,6
millions of chained 2009 dollars,18536,"Ann Arbor, MI (Metropolitan Statistical Area)",2012,6
millions of chained 2009 dollars,18712,"Ann Arbor, MI (Metropolitan Statistical Area)",2013,6
millions of chained 2009 dollars,18860,"Ann Arbor, MI (Metropolitan Statistical Area)",2014,6
millions of chained 2009 dollars,19196,"Ann Arbor, MI (Metropolitan Statistical Area)",2015,6
